0	1,013	999,9	0,00	4,212	55,1	13,1	1788	1,789	-0,63	756,4	13,67
10	1,013	999,7	42,04	4,191	57,4	13,7	1306	1,306	0,70	741,6	9,52
20	1,013	998,2	83,91	4,183	59,9	14,3	1004	1,006	1,82	726,9	7,02
30	1,013	995,7	125,7	4,174	61,8	14,9	801,5	0,805	3,21	712,2	5,42
40	1,013	992,2	167,5	4,174	63,5	15,3	653,3	0,659	3,87	696,5	4,31
50	1,013	988,1	209,3	4,174	64,8	15,7	549,4	0,556	4,49	676,9	3,54
60	1,013	983,2	251,1	4,179	65,9	16,0	469,4	0,478	5,11	662,2	2,98
70	1,013	977,8	293,0	4,187	66,8	16,3	406,1	0,415	5,70	643,5	2,55
80	1,013	971,8	335,0	4,195	67,4	16,6	355,1	0,365	6,32	625,9	2,21
90	1,013	965,3	377,0	4,208	68	16,8	314,9	0,326	6,95	607,2	1,95
100	1,013	958,4	419,1	4,220	68,3	16,9	282,5	0,295	7,52	588,6	1,75
110	1,43	951,0	461,4	4,233	68,5	17,0	259,0	0,272	8,08	569,0	1,60
120	1,98	943,1	503,7	4,250	68,6	17,1	237,4	0,252	8,64	548,4	1,47
130	2,70	934,8	546,4	4,266	68,6	17,2	217,8	0,233	9,19	528,8	1,36
140	3,61	926,1	589,1	4,287	68,5	17,2	201,1	0,217	9,72	507,2	1,26
